User_ID,Age_Group,Gender,Location,Device_Type,Social_Media_Platform,Two_Factor_Authentication,Saved_Password,Account_Privacy,Frequent_New_Device_Logging,Connection_Type,Time_of_Day,Payment_Mode,Cross_Channel_Usage,Season,Suspicious_Activity,Clicked_Ad,Ad_Platform,Ad_Target_Domain,Domain_Reputation,Domain_Length,Domain_Entropy,Click_Leads_To_Malicious_Site
50,25-34,Male,Gujarat,Mobile,Instagram,No,Yes,Private,No,Private,Evening,Digital Wallet,No,summer vacations,1,No,,,,0,0,0
51,35-44,Male,Bihar,Mobile,Facebook,Yes,Yes,Private,No,Open WiFi,Evening,Digital Wallet,Yes,summer vacations,0,Yes,Facebook,news-portal.org,Good,15,3.64,1
52,25-34,Female,Uttar Pradesh,Mobile,Instagram,Yes,No,Private,No,Private,Evening,Cash,No,Diwali,0,Yes,Instagram,unknown-redirect.net,Suspicious,20,3.484,0
53,25-34,Female,Uttar Pradesh,Tablet,LinkedIn,No,Yes,Public,No,Hotspot,Evening,Digital Wallet,Yes,Holi,1,No,,,,0,0,0
54,18-24,Male,Bihar,Desktop,Twitter,Yes,No,Private,No,Open WiFi,Evening,Digital Wallet,Yes,winter vacation,0,Yes,WhatsApp,promo-deals.xyz,Suspicious,15,3.774,0
55,18-24,Female,Madhya Pradesh,Mobile,LinkedIn,No,Yes,Public,No,Private,Night,Digital Wallet,No,Diwali,1,Yes,WhatsApp,promo-deals.xyz,Suspicious,15,3.774,1
56,25-34,Male,Maharashtra,Mobile,Twitter,Yes,No,Private,No,Open WiFi,Morning,Credit Card,No,summer vacations,1,No,,,,0,0,0
57,35-44,Female,Uttar Pradesh,Tablet,Twitter,Yes,No,Public,No,Private,Night,Debit Card,Yes,summer vacations,0,Yes,Facebook,discounts.online,Suspicious,16,3.328,1
58,35-44,Female,Uttar Pradesh,Mobile,Instagram,Yes,Yes,Private,No,Private,Morning,Digital Wallet,No,Diwali,0,Yes,LinkedIn,news-portal.org,Good,15,3.64,0
59,45-54,Female,Uttar Pradesh,Mobile,Twitter,Yes,Yes,Public,No,Private,Evening,UPI,Yes,Holi,0,Yes,Instagram,offers-shop.co,Suspicious,14,3.182,1
60,45-54,Female,Punjab,Mobile,Facebook,Yes,No,Private,No,Hotspot,Evening,UPI,Yes,Diwali,0,Yes,Instagram,ecommerce.com,Good,13,2.449,0
61,35-44,Female,Rajasthan,Mobile,LinkedIn,No,No,Private,No,Private,Morning,Debit Card,No,Diwali,0,No,,,,0,0,0
62,18-24,Female,Maharashtra,Desktop,LinkedIn,Yes,No,Private,No,Open WiFi,Afternoon,Credit Card,Yes,summer vacations,0,No,,,,0,0,0
63,45-54,Male,Kerala,Tablet,Facebook,Yes,No,Public,Yes,Private,Evening,UPI,Yes,winter vacation,0,Yes,Facebook,offers-shop.co,Suspicious,14,3.182,1
64,18-24,Female,Bihar,Mobile,LinkedIn,Yes,No,Public,No,Private,Night,Credit Card,Yes,Holi,0,Yes,Facebook,ecommerce.com,Good,13,2.449,0
65,25-34,Female,Jharkhand,Mobile,Twitter,Yes,No,Private,Yes,Open WiFi,Evening,Debit Card,Yes,summer vacations,0,No,,,,0,0,0
66,35-44,Female,Rajasthan,Mobile,Instagram,Yes,No,Private,No,Private,Night,Credit Card,Yes,Diwali,0,No,,,,0,0,0
67,35-44,Female,Bihar,Mobile,LinkedIn,No,Yes,Public,No,Hotspot,Evening,Digital Wallet,No,Diwali,1,Yes,WhatsApp,offers-shop.co,Suspicious,14,3.182,1
68,25-34,Male,Andhra Pradesh,Mobile,Instagram,Yes,Yes,Private,No,Open WiFi,Evening,Debit Card,Yes,Diwali,1,Yes,LinkedIn,promo-deals.xyz,Suspicious,15,3.774,1
69,25-34,Female,Andhra Pradesh,Mobile,WhatsApp,No,No,Private,No,Hotspot,Night,Cash,Yes,summer vacations,0,No,,,,0,0,0
70,18-24,Female,Karnataka,Tablet,Facebook,Yes,No,Private,No,Private,Afternoon,Digital Wallet,Yes,summer vacations,0,No,,,,0,0,0
71,25-34,Female,Karnataka,Mobile,Twitter,No,Yes,Private,No,Hotspot,Afternoon,Debit Card,Yes,navaratri,0,Yes,LinkedIn,ecommerce.com,Good,13,2.449,0
72,18-24,Male,Gujarat,Desktop,Instagram,Yes,No,Private,No,Private,Night,Cash,No,Diwali,0,No,,,,0,0,0
73,45-54,Female,Rajasthan,Mobile,Twitter,Yes,No,Private,No,Private,Afternoon,Cash,Yes,Holi,0,No,,,,0,0,0
74,35-44,Female,Bihar,Desktop,Facebook,Yes,No,Public,Yes,Private,Afternoon,UPI,Yes,Diwali,0,No,,,,0,0,0
75,25-34,Male,Andhra Pradesh,Mobile,Facebook,Yes,No,Public,No,Private,Morning,Cash,No,summer vacations,1,Yes,Instagram,ecommerce.com,Good,13,2.449,0
76,18-24,Male,Rajasthan,Mobile,Instagram,No,No,Public,No,Private,Morning,Credit Card,Yes,summer vacations,0,Yes,Facebook,phishingsite.ru,Malicious,15,3.323,1
77,45-54,Male,West Bengal,Tablet,Instagram,Yes,Yes,Public,No,Open WiFi,Night,Credit Card,Yes,summer vacations,0,No,,,,0,0,0
78,25-34,Male,Karnataka,Desktop,WhatsApp,Yes,No,Private,Yes,Private,Evening,Digital Wallet,Yes,navaratri,1,No,,,,0,0,0
79,18-24,Female,Haryana,Desktop,WhatsApp,Yes,No,Private,No,Private,Evening,Credit Card,Yes,summer vacations,0,No,,,,0,0,0
80,35-44,Female,Bihar,Mobile,LinkedIn,Yes,Yes,Public,No,Private,Morning,Debit Card,No,summer vacations,0,No,,,,0,0,0
81,18-24,Female,Bihar,Desktop,Facebook,Yes,Yes,Private,No,Private,Evening,UPI,No,Diwali,1,Yes,Facebook,banking.example,Good,15,3.507,0
82,18-24,Other,Karnataka,Mobile,Facebook,Yes,Yes,Private,No,Open WiFi,Night,UPI,Yes,winter vacation,0,No,,,,0,0,0
83,35-44,Female,Maharashtra,Mobile,WhatsApp,No,No,Private,Yes,Private,Night,Digital Wallet,Yes,navaratri,1,No,,,,0,0,0
84,18-24,Male,Maharashtra,Desktop,LinkedIn,Yes,Yes,Private,No,Open WiFi,Morning,Credit Card,Yes,summer vacations,0,No,,,,0,0,0
85,35-44,Female,Rajasthan,Mobile,Facebook,Yes,Yes,Private,No,Open WiFi,Morning,UPI,Yes,Diwali,0,Yes,WhatsApp,ecommerce.com,Good,13,2.449,0
86,35-44,Female,Punjab,Mobile,WhatsApp,Yes,Yes,Public,Yes,Open WiFi,Evening,Digital Wallet,No,summer vacations,1,No,,,,0,0,0
87,45-54,Female,Bihar,Mobile,Instagram,Yes,No,Public,No,Private,Evening,Debit Card,Yes,navaratri,0,No,,,,0,0,0
88,45-54,Female,Bihar,Mobile,LinkedIn,Yes,No,Public,Yes,Hotspot,Afternoon,UPI,No,summer vacations,1,Yes,Instagram,unknown-redirect.net,Suspicious,20,3.484,0
89,18-24,Female,Uttar Pradesh,Desktop,LinkedIn,No,No,Public,No,Private,Morning,UPI,Yes,Holi,0,No,,,,0,0,0
90,45-54,Female,Odisha,Mobile,Instagram,Yes,Yes,Public,No,Private,Morning,Debit Card,Yes,summer vacations,0,Yes,Twitter,ecommerce.com,Good,13,2.449,0
91,45-54,Male,Madhya Pradesh,Mobile,Instagram,No,No,Public,No,Private,Night,Digital Wallet,No,winter vacation,0,No,,,,0,0,0
92,18-24,Male,Kerala,Mobile,Twitter,Yes,No,Private,No,Private,Evening,Debit Card,Yes,Diwali,0,No,,,,0,0,0
93,18-24,Female,Madhya Pradesh,Desktop,WhatsApp,Yes,No,Public,No,Private,Afternoon,Digital Wallet,Yes,winter vacation,1,No,,,,0,0,0
94,25-34,Female,Tamil Nadu,Desktop,Instagram,Yes,No,Private,No,Private,Morning,Digital Wallet,Yes,summer vacations,0,No,,,,0,0,0
95,18-24,Male,Tamil Nadu,Desktop,Instagram,Yes,No,Private,No,Private,Night,Digital Wallet,No,Holi,0,No,,,,0,0,0
96,35-44,Male,Tamil Nadu,Mobile,Facebook,Yes,No,Private,Yes,Private,Night,Cash,Yes,summer vacations,0,Yes,Twitter,discounts.online,Suspicious,16,3.328,1
97,18-24,Female,Rajasthan,Mobile,Facebook,Yes,No,Public,No,Private,Morning,UPI,No,Diwali,0,Yes,WhatsApp,ecommerce.com,Good,13,2.449,0
98,18-24,Male,Karnataka,Mobile,Instagram,No,Yes,Private,No,Hotspot,Afternoon,Debit Card,No,navaratri,1,Yes,Facebook,offers-shop.co,Suspicious,14,3.182,1
99,35-44,Female,Tamil Nadu,Desktop,Instagram,Yes,No,Private,No,Private,Night,UPI,Yes,navaratri,1,No,,,,0,0,0
100,35-44,Male,Kerala,Mobile,Instagram,Yes,Yes,Public,No,Private,Afternoon,UPI,Yes,Diwali,0,Yes,LinkedIn,discounts.online,Suspicious,16,3.328,0
101,35-44,Male,Madhya Pradesh,Mobile,LinkedIn,Yes,Yes,Private,No,Hotspot,Night,Credit Card,Yes,Diwali,0,No,,,,0,0,0
102,18-24,Female,Uttar Pradesh,Mobile,WhatsApp,Yes,No,Private,No,Private,Morning,UPI,No,summer vacations,0,Yes,Instagram,news-portal.org,Good,15,3.64,0
103,25-34,Female,Madhya Pradesh,Mobile,Instagram,Yes,No,Public,No,Hotspot,Evening,Digital Wallet,Yes,Holi,0,Yes,WhatsApp,phishingsite.ru,Malicious,15,3.323,1
104,35-44,Female,Tamil Nadu,Tablet,LinkedIn,No,No,Private,No,Private,Morning,Cash,Yes,Diwali,0,Yes,Facebook,promo-deals.xyz,Suspicious,15,3.774,1
105,18-24,Male,Maharashtra,Mobile,WhatsApp,No,Yes,Private,No,Private,Night,UPI,No,summer vacations,1,No,,,,0,0,0
106,25-34,Male,Uttar Pradesh,Mobile,Twitter,Yes,No,Private,No,Hotspot,Night,Credit Card,Yes,Holi,0,Yes,WhatsApp,news-portal.org,Good,15,3.64,0
107,35-44,Female,Karnataka,Mobile,WhatsApp,No,No,Private,Yes,Private,Afternoon,Debit Card,Yes,Diwali,1,No,,,,0,0,0
108,18-24,Female,Chhattisgarh,Mobile,LinkedIn,No,No,Private,No,Private,Afternoon,Digital Wallet,Yes,winter vacation,0,Yes,WhatsApp,news-portal.org,Good,15,3.64,0
109,35-44,Male,Maharashtra,Desktop,Instagram,No,Yes,Public,No,Private,Night,Debit Card,Yes,summer vacations,1,No,,,,0,0,0
110,35-44,Female,Uttar Pradesh,Mobile,Instagram,Yes,No,Private,No,Private,Night,Credit Card,Yes,winter vacation,0,No,,,,0,0,0
111,18-24,Female,Odisha,Mobile,Facebook,Yes,Yes,Private,No,Hotspot,Morning,Credit Card,No,summer vacations,1,Yes,WhatsApp,discounts.online,Suspicious,16,3.328,0
112,25-34,Female,Bihar,Desktop,Twitter,Yes,Yes,Public,No,Private,Morning,Digital Wallet,Yes,Holi,0,No,,,,0,0,0
113,35-44,Male,Maharashtra,Mobile,Twitter,No,No,Private,No,Open WiFi,Night,Debit Card,Yes,Diwali,0,Yes,Instagram,news-portal.org,Good,15,3.64,0
114,18-24,Female,Gujarat,Mobile,Instagram,Yes,No,Public,No,Private,Night,Cash,Yes,summer vacations,0,No,,,,0,0,0
115,18-24,Male,Odisha,Desktop,LinkedIn,Yes,No,Private,Yes,Private,Night,Credit Card,No,Holi,1,No,,,,0,0,0
116,18-24,Male,Rajasthan,Mobile,Instagram,Yes,No,Private,No,Hotspot,Night,Debit Card,Yes,winter vacation,0,Yes,Facebook,login-secure.ru,Malicious,15,3.507,1
117,25-34,Female,Tamil Nadu,Tablet,LinkedIn,Yes,No,Public,No,Private,Afternoon,UPI,Yes,Diwali,0,Yes,Instagram,banking.example,Good,15,3.507,0
118,45-54,Male,Tamil Nadu,Desktop,Instagram,No,Yes,Private,No,Private,Morning,Debit Card,No,Diwali,0,No,,,,0,0,0
119,18-24,Male,Rajasthan,Mobile,WhatsApp,Yes,No,Public,Yes,Private,Evening,Digital Wallet,Yes,Holi,0,Yes,Twitter,news-portal.org,Good,15,3.64,0
120,18-24,Female,West Bengal,Tablet,WhatsApp,Yes,No,Private,No,Private,Afternoon,Digital Wallet,No,Holi,0,No,,,,0,0,0
121,18-24,Male,West Bengal,Mobile,LinkedIn,Yes,No,Public,No,Private,Morning,UPI,Yes,navaratri,1,Yes,LinkedIn,news-portal.org,Good,15,3.64,0
122,25-34,Female,Andhra Pradesh,Mobile,Facebook,Yes,Yes,Public,No,Hotspot,Evening,Debit Card,Yes,Holi,0,Yes,Instagram,ecommerce.com,Good,13,2.449,1
123,18-24,Female,Chhattisgarh,Mobile,WhatsApp,Yes,No,Private,No,Hotspot,Night,UPI,Yes,Holi,1,No,,,,0,0,0
124,18-24,Female,Uttar Pradesh,Mobile,Instagram,No,Yes,Private,No,Private,Night,Credit Card,No,summer vacations,1,No,,,,0,0,0
125,18-24,Male,Rajasthan,Mobile,Twitter,No,Yes,Public,No,Private,Evening,UPI,Yes,winter vacation,0,No,,,,0,0,0
126,45-54,Male,Tamil Nadu,Mobile,Instagram,Yes,Yes,Private,No,Private,Morning,Digital Wallet,No,summer vacations,0,Yes,Twitter,ecommerce.com,Good,13,2.449,0
127,25-34,Male,Maharashtra,Desktop,Facebook,No,No,Private,No,Private,Morning,Credit Card,No,summer vacations,0,No,,,,0,0,0
128,18-24,Female,West Bengal,Mobile,Instagram,No,Yes,Private,No,Open WiFi,Night,Credit Card,Yes,Diwali,0,No,,,,0,0,0
129,18-24,Male,Bihar,Mobile,Twitter,Yes,No,Private,Yes,Open WiFi,Afternoon,Debit Card,No,Diwali,1,Yes,LinkedIn,login-secure.ru,Malicious,15,3.507,1
130,35-44,Other,Uttar Pradesh,Mobile,LinkedIn,Yes,Yes,Private,No,Hotspot,Morning,UPI,Yes,Diwali,0,No,,,,0,0,0
131,35-44,Male,Rajasthan,Mobile,Instagram,No,Yes,Private,No,Hotspot,Evening,Cash,No,summer vacations,1,Yes,LinkedIn,ecommerce.com,Good,13,2.449,0
132,25-34,Male,Bihar,Mobile,LinkedIn,Yes,No,Public,Yes,Private,Afternoon,Debit Card,Yes,summer vacations,0,No,,,,0,0,0
133,45-54,Female,Odisha,Mobile,Twitter,No,Yes,Private,No,Private,Evening,Cash,No,Diwali,0,No,,,,0,0,0
134,18-24,Female,Tamil Nadu,Desktop,LinkedIn,No,No,Private,No,Open WiFi,Morning,Credit Card,Yes,summer vacations,0,No,,,,0,0,0
135,45-54,Female,Rajasthan,Desktop,Instagram,Yes,No,Public,Yes,Open WiFi,Night,Digital Wallet,Yes,Diwali,0,No,,,,0,0,0
136,35-44,Female,Telangana,Mobile,Twitter,Yes,No,Private,No,Open WiFi,Morning,Cash,No,Diwali,1,No,,,,0,0,0
137,45-54,Female,West Bengal,Mobile,Twitter,No,No,Private,No,Open WiFi,Afternoon,Cash,Yes,navaratri,1,No,,,,0,0,0
138,45-54,Female,Madhya Pradesh,Tablet,Instagram,No,No,Private,No,Private,Evening,Credit Card,Yes,Holi,1,Yes,WhatsApp,banking.example,Good,15,3.507,0
139,45-54,Male,Rajasthan,Mobile,WhatsApp,Yes,Yes,Private,No,Private,Afternoon,Digital Wallet,Yes,Diwali,0,No,,,,0,0,0
140,25-34,Female,Bihar,Tablet,WhatsApp,Yes,No,Public,No,Open WiFi,Night,Digital Wallet,No,summer vacations,1,Yes,Instagram,discounts.online,Suspicious,16,3.328,0
141,25-34,Male,Maharashtra,Desktop,WhatsApp,Yes,No,Public,Yes,Private,Night,Digital Wallet,Yes,summer vacations,1,No,,,,0,0,0
142,45-54,Female,Uttar Pradesh,Mobile,Twitter,Yes,Yes,Private,No,Open WiFi,Morning,Cash,No,summer vacations,1,Yes,LinkedIn,ecommerce.com,Good,13,2.449,1
143,25-34,Female,Uttar Pradesh,Desktop,Twitter,Yes,Yes,Private,No,Private,Morning,UPI,Yes,summer vacations,0,No,,,,0,0,0
144,35-44,Female,Uttar Pradesh,Desktop,WhatsApp,Yes,Yes,Public,No,Private,Night,Debit Card,No,Diwali,0,No,,,,0,0,0
145,35-44,Female,Gujarat,Mobile,LinkedIn,Yes,No,Private,Yes,Private,Night,UPI,No,Diwali,1,No,,,,0,0,0
146,25-34,Male,Jammu & Kashmir,Mobile,Facebook,Yes,Yes,Public,Yes,Private,Evening,UPI,Yes,summer vacations,1,No,,,,0,0,0
147,25-34,Female,Uttar Pradesh,Mobile,Twitter,Yes,No,Public,No,Private,Morning,Digital Wallet,Yes,Holi,0,No,,,,0,0,0
148,45-54,Male,Uttar Pradesh,Mobile,Instagram,Yes,No,Private,Yes,Private,Evening,UPI,Yes,navaratri,0,No,,,,0,0,0
149,45-54,Female,Bihar,Mobile,WhatsApp,Yes,No,Private,No,Private,Evening,Credit Card,No,Diwali,0,No,,,,0,0,0
150,25-34,Male,Tamil Nadu,Tablet,Instagram,Yes,No,Private,No,Private,Evening,Debit Card,No,navaratri,1,Yes,WhatsApp,ecommerce.com,Good,13,2.449,0
151,35-44,Female,Gujarat,Desktop,WhatsApp,Yes,No,Public,No,Private,Afternoon,Credit Card,Yes,summer vacations,1,No,,,,0,0,0
152,45-54,Male,Madhya Pradesh,Mobile,WhatsApp,Yes,No,Private,No,Private,Afternoon,Debit Card,Yes,summer vacations,0,Yes,WhatsApp,login-secure.ru,Malicious,15,3.507,1
153,35-44,Male,Uttar Pradesh,Mobile,Twitter,Yes,No,Private,No,Hotspot,Evening,Debit Card,No,summer vacations,1,No,,,,0,0,0
154,25-34,Female,Bihar,Tablet,LinkedIn,Yes,No,Public,Yes,Private,Evening,Debit Card,Yes,Holi,0,No,,,,0,0,0
155,18-24,Male,West Bengal,Mobile,Facebook,Yes,No,Private,No,Private,Morning,Cash,Yes,summer vacations,0,No,,,,0,0,0
156,25-34,Female,Kerala,Mobile,Facebook,Yes,No,Private,No,Hotspot,Afternoon,Debit Card,Yes,summer vacations,0,No,,,,0,0,0
157,25-34,Other,Maharashtra,Desktop,LinkedIn,No,Yes,Public,No,Open WiFi,Night,Debit Card,Yes,summer vacations,0,No,,,,0,0,0
158,35-44,Female,Gujarat,Tablet,Instagram,Yes,No,Private,Yes,Private,Morning,Debit Card,Yes,summer vacations,0,Yes,Facebook,promo-deals.xyz,Suspicious,15,3.774,1
159,35-44,Female,Maharashtra,Mobile,WhatsApp,Yes,No,Private,No,Private,Afternoon,UPI,No,summer vacations,0,Yes,Instagram,news-portal.org,Good,15,3.64,0
160,25-34,Female,Rajasthan,Mobile,LinkedIn,No,Yes,Private,No,Private,Evening,Digital Wallet,Yes,winter vacation,1,Yes,Twitter,promo-deals.xyz,Suspicious,15,3.774,1
161,25-34,Female,Tamil Nadu,Mobile,Twitter,Yes,No,Private,No,Private,Afternoon,Credit Card,Yes,winter vacation,0,Yes,Twitter,discounts.online,Suspicious,16,3.328,1
162,35-44,Female,Madhya Pradesh,Mobile,LinkedIn,Yes,Yes,Public,No,Open WiFi,Evening,Cash,Yes,Holi,0,Yes,WhatsApp,news-portal.org,Good,15,3.64,0
163,18-24,Male,Haryana,Desktop,WhatsApp,Yes,No,Private,No,Hotspot,Afternoon,Debit Card,Yes,Diwali,1,No,,,,0,0,0
